vertex_string_list,wpts_y_unreal,wpts_x_unreal,wpts_z_unreal
vert303,-509.94864714658,2865.60775167209,10
vert304,-513.250816219655,2847.0966019738,10
vert305,-515.661227550546,2827.71970041686,10
vert306,-517.369556217445,2807.51099455315,10
vert307,-518.579233900687,2786.52300330055,10
vert308,-519.503968628048,2764.82512732726,10
vert309,-520.36426452005,2742.50195943729,10
vert310,-521.383941535263,2719.65159495715,10
vert311,-522.786655215605,2696.38394212375,10
vert312,-524.79241643164,2672.81903247354,10
vert313,-527.614111127873,2649.08533123281,10
vert314,-531.454020068052,2625.31804770918,10
vert315,-536.500338580454,2601.65744568435,10
vert316,-542.923696303187,2578.24715380801,10
vert317,-550.873676929473,2555.23247599295,10
vert318,-560.475337952943,2532.75870181141,10
vert319,-571.825730412927,2510.96941689262,10
vert320,-584.990418639736,2490.00481332148,10
vert321,-599.999999999973,2470.00000003053,10
vert322,-616.846688022438,2451.08332475438,10
vert323,-635.482543421346,2433.37499881326,10
vert324,-655.821888241952,2416.98649211968,10
vert325,-677.745367903058,2402.02023069418,10
vert326,-701.104076620186,2388.56930568491,10
vert327,-725.72368282877,2376.71718239886,10
vert328,-751.408554607366,2366.53740934459,10
vert329,-777.945885100882,2358.0933272865,10
vert330,-805.109817943823,2351.43777831075,10
vert331,-832.665572683562,2346.61281490265,10
vert332,-860.373570203623,2343.64940903562,10
vert333,-887.993558146986,2342.56716127179,10
vert334,-915.288736339409,2343.37400987407,10
vert335,-942.029882212772,2346.0659399298,10
vert336,-967.999476228437,2350.62669248601,10
vert337,-992.995827300625,2357.02747369618,10
vert338,-1016.83719821982,2365.22666397858,10
vert339,-1039.36593107618,2375.16952718619,10
vert340,-1060.45257268297,2386.78791978815,10
vert341,-1080.00000000002,2400.0000001176,10
vert342,-1097.94748301794,2414.70995643854,10
vert343,-1114.2731243615,2430.80822927697,10
vert344,-1128.99217925035,2448.17298609625,10
vert345,-1142.15375188004,2466.67209077751,10
vert346,-1153.83742924083,2486.16509220213,10
vert347,-1164.14991494408,2506.50521282648,10
vert348,-1173.22166305608,2527.5413372489,10
vert349,-1181.20351193953,2549.120000769,10
vert350,-1188.26331810246,2571.0873779391,10
vert351,-1194.58259005479,2593.29127110808,10
vert352,-1200.35312217233,2615.58309895734,10
vert353,-1205.77362856845,2637.81988502911,10
vert354,-1211.04637697318,2659.86624624697,10
vert355,-1216.37382261986,2681.59638142866,10
vert356,-1221.95524213945,2702.89605979111,10
vert357,-1227.98336746221,2723.66460944776,10
vert358,-1234.64101972708,2743.81690589809,10
vert359,-1242.09774319848,2763.2853605095,10
vert360,-1250.50643919074,2782.0219089913,10
vert361,-1260.00000000004,2799.99999977702,10
vert362,-1270.68798587486,2817.21654083454,10
vert363,-1282.65442226708,2833.69275357269,10
vert364,-1295.95844171651,2849.47225527539,10
vert365,-1310.63604621171,2864.61804910512,10
vert366,-1326.70191260223,2879.20947220717,10
vert367,-1344.15119801063,2893.33914381038,10
vert368,-1362.96134524467,2907.10991332448,10
vert369,-1383.0938882094,2920.63180843405,10
vert370,-1404.49625731926,2934.01898318895,10
vert371,-1427.10358491017,2947.38666609137,10
vert372,-1450.8405106516,2960.84810817946,10
vert373,-1475.62298695868,2974.51153110747,10
vert374,-1501.36008440423,2988.47707522251,10
vert375,-1527.95579713083,3002.83374763785,10
vert376,-1555.31084826287,3017.65637030279,10
vert377,-1583.32449531855,3033.00252806908,10
vert378,-1611.89633562198,3048.90951675394,10
vert379,-1640.92811171513,3065.39129119961,10
vert380,-1670.32551676987,3082.43541332949,10
vert381,-1699.99999999996,3100.00000031757,10
vert382,-1729.87055238154,3118.01072791556,10
vert383,-1759.86498037854,3136.35940987674,10
vert384,-1789.91987998329,3154.90661729756,10
vert385,-1819.98009876312,3173.48585730066,10
vert386,-1849.99817821549,3191.90780614862,10
vert387,-1879.93379612315,3209.96454281759,10
vert388,-1909.75320890925,3227.43378303085,10
vert389,-1939.4286939924,3244.08311375229,10
vert390,-1968.93799214172,3259.67422813979,10
vert391,-1998.26374983189,3273.96716095855,10
vert392,-2027.39296159813,3286.7245244543,10
vert393,-2056.31641239117,3297.71574468642,10
vert394,-2085.02811993219,3306.72129832102,10
vert395,-2113.52477706777,3313.53694988391,10
vert396,-2141.80519412474,3317.97798947348,10
vert397,-2169.8697412651,3319.88347093351,10
vert398,-2197.71979084079,3319.12045048586,10
vert399,-2225.35715974857,3315.58822582317,10
vert400,-2252.78355178476,3309.22257566134,10
vert401,-2280.00000000003,3299.99999962081,10
vert402,-2307.0063146191,3287.94187882019,10
