0.0375 -2.0000 -0.5000 1.0000
0.0750 -2.0001 -0.5000 1.0000
0.1125 -2.0003 -0.5000 1.0000
0.1500 -2.0008 -0.5000 1.0000
0.1875 -2.0015 -0.5000 1.0000
0.2250 -2.0025 -0.5000 1.0000
0.2625 -2.0040 -0.5000 1.0000
0.3000 -2.0059 -0.5001 1.0000
0.3375 -2.0082 -0.5001 1.0000
0.3750 -2.0112 -0.5001 1.0000
0.4125 -2.0147 -0.5002 1.0000
0.4500 -2.0188 -0.5002 1.0000
0.4875 -2.0236 -0.5002 1.0000
0.5250 -2.0291 -0.5003 1.0000
0.5625 -2.0354 -0.5004 1.0000
0.6000 -2.0424 -0.5004 1.0000
0.6375 -2.0502 -0.5005 1.0000
0.6750 -2.0589 -0.5006 1.0000
0.7125 -2.0683 -0.5007 1.0000
0.7500 -2.0787 -0.5008 1.0000
0.7875 -2.0899 -0.5009 1.0000
0.8250 -2.1020 -0.5010 1.0000
0.8625 -2.1150 -0.5012 1.0000
0.9000 -2.1290 -0.5013 1.0000
0.9375 -2.1438 -0.5014 1.0000
0.9750 -2.1596 -0.5016 1.0000
1.0125 -2.1764 -0.5017 1.0000
1.0500 -2.1940 -0.5019 1.0000
1.0875 -2.2127 -0.5021 1.0000
1.1250 -2.2322 -0.5023 1.0000
1.1625 -2.2527 -0.5024 1.0000
1.2000 -2.2741 -0.5026 1.0000
1.2375 -2.2965 -0.5028 1.0000
1.2750 -2.3197 -0.5030 1.0000
1.3125 -2.3439 -0.5032 1.0000
1.3500 -2.3689 -0.5034 1.0000
1.3875 -2.3949 -0.5036 1.0000
1.4250 -2.4217 -0.5039 1.0000
1.4625 -2.4493 -0.5041 1.0000
1.5000 -2.4778 -0.5043 1.0000
1.5375 -2.5070 -0.5045 1.0000
1.5750 -2.5371 -0.5047 1.0000
1.6125 -2.5680 -0.5049 1.0000
1.6500 -2.5995 -0.5051 1.0000
1.6875 -2.6319 -0.5053 1.0000
1.7250 -2.6649 -0.5055 1.0000
1.7625 -2.6986 -0.5057 1.0000
1.8000 -2.7329 -0.5059 1.0000
